SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,C_ADDED,N_ADDED,PEAT_DEPTH,PEAT_TEMP,DISS_CH4_CONC,DISS_CO2_CONC,POREWATER_PH,SITE_COMMENTS,CRTFCN_CODE,REVISION_DATE
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1021,300,6,0,,58.7,3440.0,6.94,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1021,300,6,50,14.1,6.54,3978.0,6.86,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1023,0,0,0,,44.37,4001.0,6.92,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1023,0,0,50,13.9,28.06,4050.0,6.89,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1146,300,0,0,,54.94,4646.0,6.82,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1146,300,0,50,14.1,.74,4510.0,6.91,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1148,0,6,0,,30.13,4415.0,6.91,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',24-AUG-1994,1148,0,6,50,14.0,88.93,5210.0,6.53,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,951,300,6,0,,110.36,4450.0,6.79,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,951,300,6,50,,111.36,4316.0,6.96,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,953,0,0,0,,60.11,4041.0,6.81,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,953,0,0,50,11.4,55.91,4414.0,6.96,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,1046,300,0,0,,3.15,4316.0,7.09,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,1046,300,0,50,11.4,55.99,4141.0,6.97,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,1048,0,6,0,,66.77,4285.0,6.87,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',26-AUG-1994,1048,0,6,50,11.4,89.61,4198.0,6.96,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,916,300,6,0,,96.89,3085.0,6.86,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,918,0,0,0,,85.33,3522.0,6.9,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,1001,300,0,0,,86.62,2809.0,6.75,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,1003,0,6,0,,77.5,3151.0,6.84,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,1536,300,6,0,,103.09,2560.0,6.76,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,1538,0,0,0,,101.98,2851.0,6.86,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,1623,300,0,0,,,,6.9,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',07-SEP-1994,1625,0,6,0,,98.5,2957.0,6.52,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',08-SEP-1994,1001,300,6,0,,83.64,3441.0,6.81,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',08-SEP-1994,1003,0,0,0,,84.73,3695.0,6.95,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',08-SEP-1994,1047,300,0,0,,43.54,3183.0,7.05,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',08-SEP-1994,1049,0,6,0,,69.77,3711.0,6.63,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',09-SEP-1994,1246,300,6,0,,66.69,3129.0,6.79,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',09-SEP-1994,1248,0,0,0,,96.15,3266.0,6.84,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',09-SEP-1994,1333,300,0,0,,9.35,2255.0,6.97,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON01',09-SEP-1994,1335,0,6,0,,58.46,3193.0,6.55,'Hummock: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1011,300,6,0,,.01,66.0,6.92,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1011,300,6,50,14.5,1.53,1458.0,6.92,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1011,300,6,300,5.5,508.69,3526.0,6.44,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
