TIMESTAMP,TempSO1(10cm),TempSO2(30cm),TempSO3(60cm),TempSO4(100cm),O2soil1(10cm),O2soil2(30cm),O2soil3(60cm),O2soil4(100cm),CO2soil1(10cm),CO2soil2(30cm),CO2soil3(60cm),CO2soil4(100cm)
MST,degC,degC,degC,degC,%,%,%,%,ppm,ppm,ppm,ppm
11/20/2014 11:30,9.345,4.634,5.723,7.146,20.531,19.676,19.076,19.02,1153.082,3155.473,3685.178,10453.93
11/20/2014 11:45,9.833,4.995,6.072,7.525,21.2,20.306,19.696,19.638,1170.156,3244.766,3734.562,10519.38
11/20/2014 12:00,8.668,5.114,6.143,7.585,20.953,20.302,19.692,19.634,1154.281,3224.023,3742.025,10438.6
11/20/2014 12:15,7.769,5.161,6.165,7.598,20.918,20.299,19.692,19.623,1154.938,3211.153,3746.042,10380.38
11/20/2014 12:30,7.455,5.195,6.166,7.597,20.891,20.289,19.708,19.622,1145.84,3194.224,3748.917,10406.33
11/20/2014 12:45,7.288,5.218,6.166,7.597,20.883,20.276,19.708,19.623,1146.01,3194.738,3748.52,10411.67
11/20/2014 13:00,7.026,5.235,6.166,7.596,20.896,20.275,19.701,19.616,1147.941,3195.446,3757.13,10442.37
11/20/2014 13:15,6.805,5.255,6.167,7.597,20.907,20.265,19.707,19.625,1142.59,3190.418,3735.23,10438.76
11/20/2014 13:30,6.661,5.277,6.17,7.6,20.887,20.25,19.692,19.622,1147.383,3181.472,3742.737,10438.92
11/20/2014 13:45,6.577,5.302,6.173,7.603,20.879,20.234,19.679,19.621,1146.213,3184.761,3736.96,10435.55
11/20/2014 14:00,6.54,5.319,6.173,7.601,20.881,20.231,19.67,19.628,1148.571,3183.219,3738.956,10409.61
11/20/2014 14:15,6.493,5.343,6.173,7.6,20.876,20.233,19.67,19.632,1149.66,3180.679,3736.598,10388.93
11/20/2014 14:30,6.394,5.364,6.172,7.594,20.865,20.231,19.67,19.633,1151.111,3174.965,3763.446,10386.57
11/20/2014 14:45,6.288,5.385,6.167,7.593,20.859,20.227,19.673,19.636,1154.648,3157.732,3751.836,10374.78
11/20/2014 15:00,6.185,5.4,6.163,7.587,20.864,20.21,19.674,19.636,1152.744,3138.865,3759.818,10369.52
11/20/2014 15:15,6.089,5.421,6.163,7.583,20.861,20.209,19.674,19.637,1154.467,3139.954,3749.296,10371.88
11/20/2014 15:30,5.992,5.44,6.164,7.583,20.843,20.209,19.674,19.636,1153.378,3148.661,3730.974,10357.37
11/20/2014 15:45,5.898,5.461,6.167,7.584,20.841,20.196,19.674,19.62,1156.43,3163.606,3742.049,10369.14
11/20/2014 16:00,5.815,5.483,6.169,7.578,20.843,20.188,19.675,19.62,1162.588,3172.78,3761.648,10368.12
11/20/2014 16:15,5.741,5.499,6.17,7.578,20.819,20.189,19.677,19.621,1160.828,3169.393,3773.622,10377.51
11/20/2014 16:30,5.672,5.522,6.178,7.583,20.819,20.19,19.679,19.622,1161.584,3164.327,3773.786,10379.14
11/20/2014 16:45,5.601,5.541,6.186,7.585,20.824,20.19,19.679,19.624,1159.935,3177.053,3782.56,10341.89
11/20/2014 17:00,5.529,5.554,6.187,7.583,20.823,20.189,19.679,19.624,1162.009,3180.621,3786.078,10344.57
11/20/2014 17:15,5.458,5.569,6.187,7.577,20.803,20.188,19.679,19.606,1160.485,3175.863,3769.443,10387.2
11/20/2014 17:30,5.387,5.582,6.187,7.574,20.806,20.188,19.68,19.61,1159.487,3195.1,3776.522,10380.49
11/20/2014 17:45,5.305,5.592,6.187,7.574,20.803,20.19,19.682,19.607,1164.641,3209.613,3793.747,10385.39
11/20/2014 18:00,5.221,5.601,6.188,7.567,20.809,20.19,19.683,19.609,1161.288,3249.156,3792.179,10403.22
11/20/2014 18:15,5.138,5.617,6.198,7.569,20.813,20.189,19.682,19.609,1141.182,3256.994,3790.508,10405.61
11/20/2014 18:30,5.057,5.623,6.205,7.571,20.819,20.19,19.683,19.609,1136.01,3237.213,3814.294,10406.35
11/20/2014 18:45,4.981,5.634,6.205,7.57,20.817,20.191,19.684,19.612,1130.202,3231.041,3766.371,10395.28
11/20/2014 19:00,4.915,5.643,6.206,7.57,20.81,20.191,19.686,19.624,1125.21,3216.065,3795.052,10386.56
11/20/2014 19:15,4.86,5.646,6.215,7.57,20.802,20.191,19.688,19.631,1125.482,3202.995,3780.348,10372.22
11/20/2014 19:30,4.81,5.655,6.216,7.57,20.796,20.191,19.7,19.631,1124.937,3198.547,3779.078,10363.69
11/20/2014 19:45,4.764,5.656,6.216,7.57,20.798,20.191,19.704,19.633,1129.929,3200.181,3777.989,10389.65
11/20/2014 20:00,4.724,5.663,6.218,7.57,20.801,20.19,19.704,19.633,1125.3,3208.985,3786.521,10432.67
11/20/2014 20:15,4.683,5.666,6.227,7.57,20.803,20.19,19.704,19.633,1128.023,3204.083,3773.087,10412.34
11/20/2014 20:30,4.646,5.668,6.232,7.57,20.797,20.19,19.704,19.63,1124.937,3217.426,3788.88,10396.19
11/20/2014 20:45,4.623,5.672,6.238,7.568,20.787,20.19,19.703,19.627,1130.928,3251.19,3768.549,10432.49
11/20/2014 21:00,4.6,5.675,6.239,7.568,20.788,20.19,19.703,19.631,1128.84,3266.802,3798.865,10430.86
11/20/2014 21:15,4.577,5.674,6.246,7.567,20.782,20.19,19.703,19.631,1130.111,3258.179,3787.428,10409.62
11/20/2014 21:30,4.557,5.671,6.249,7.565,20.772,20.19,19.703,19.632,1135.648,3275.788,3775.629,10431.22
11/20/2014 21:45,4.543,5.667,6.25,7.563,20.772,20.19,19.703,19.624,1127.751,3263.898,3735.692,10439.21
11/20/2014 22:00,4.527,5.665,6.257,7.56,20.773,20.19,19.702,19.629,1124.393,3262.082,3716.45,10434.67
11/20/2014 22:15,4.503,5.658,6.261,7.56,20.774,20.191,19.702,19.631,1121.307,3263.534,3735.329,10450.28
11/20/2014 22:30,4.472,5.655,6.261,7.559,20.776,20.191,19.702,19.625,1122.578,3274.971,3709.552,10477.51
11/20/2014 22:45,4.435,5.652,6.261,7.559,20.778,20.191,19.704,19.627,1110.415,3258.815,3679.781,10483.32
11/20/2014 23:00,4.398,5.644,6.261,7.559,20.78,20.191,19.714,19.626,1107.238,3247.56,3665.259,10458.09
11/20/2014 23:15,4.364,5.643,6.27,7.558,20.782,20.191,19.702,19.612,1102.246,3230.859,3643.476,10486.04
11/20/2014 23:30,4.326,5.635,6.272,7.557,20.784,20.192,19.707,19.613,1095.53,3211.799,3642.205,10490.4
11/20/2014 23:45,4.289,5.628,6.272,7.552,20.786,20.192,19.721,19.613,1089.811,3182.573,3627.682,10484.77
11/21/2014 0:00,4.255,5.622,6.272,7.549,20.781,20.193,19.708,19.613,1087.361,3177.308,3590.287,10488.04
11/21/2014 0:15,4.224,5.619,6.273,7.549,20.761,20.194,19.708,19.614,1085.455,3160.698,3608.259,10508.92
11/21/2014 0:30,4.2,5.609,6.274,7.549,20.754,20.195,19.703,19.614,1083.821,3148.082,3562.513,10482.05
11/21/2014 0:45,4.185,5.601,6.281,7.549,20.753,20.194,19.701,19.613,1085.636,3146.63,3564.692,10499.47
11/21/2014 1:00,4.164,5.598,6.283,7.548,20.755,20.194,19.701,19.613,1083.186,3142.091,3542.182,10507.64
11/21/2014 1:15,4.144,5.59,6.283,7.548,20.756,20.195,19.701,19.613,1083.549,3128.84,3518.039,10485.32
11/21/2014 1:30,4.117,5.586,6.283,7.548,20.749,20.181,19.701,19.613,1078.738,3120.762,3492.988,10522.35
11/21/2014 1:45,4.097,5.575,6.284,7.549,20.723,20.176,19.701,19.613,1075.471,3110.959,3507.691,10508.37
11/21/2014 2:00,4.076,5.567,6.285,7.55,20.721,20.167,19.701,19.613,1066.666,3100.067,3498.07,10534.15
11/21/2014 2:15,4.05,5.559,6.285,7.551,20.723,20.166,19.702,19.614,1073.202,3088.359,3490.628,10536.14
11/21/2014 2:30,4.039,5.551,6.286,7.552,20.725,20.159,19.703,19.615,1067.665,3097.708,3480.099,10545.77
11/21/2014 2:45,4.024,5.544,6.286,7.551,20.725,20.16,19.703,19.615,1066.303,3091.263,3472.293,10499.66
11/21/2014 3:00,3.999,5.534,6.286,7.551,20.727,20.16,19.703,19.615,1057.953,3079.464,3438.347,10512
11/21/2014 3:15,3.961,5.521,6.285,7.553,20.729,20.162,19.704,19.616,1056.138,3070.841,3463.217,10510
11/21/2014 3:30,3.93,5.517,6.28,7.552,20.712,20.162,19.7,19.616,1056.138,3060.676,3464.125,10489.13
11/21/2014 3:45,3.907,5.508,6.279,7.548,20.71,20.162,19.695,19.616,1055.139,3057.499,3479.373,10450.46
