TIMESTAMP,WP1(10cm),WP2(30cm),TempMPS1(10cm),TempMPS2(30cm),VWC1(10cm),VWC2(30cm),VWC3(60cm),VWC4(80cm),EC1(10cm),EC2(30cm),EC3(60cm),EC4(80cm),Temp5TE1(10cm),Temp5TE2(30cm),Temp5TE3(60cm),Temp5TE4(80cm)
MST,kPa,kPa,degC,degC,m3/m3,m3/m3,m3/m3,m3/m3,dS/m,dS/m,dS/m,dS/m,degC,degC,degC,degC
1/1/2016 0:00,-6.8,-8.6,1.5,2.4,0.258,0.243,0.245,0.446,0.04,0.03,0,0.06,1.6,3.5,4.3,5.2
1/1/2016 0:15,-6.9,-8.6,1.5,2.4,0.258,0.244,0.245,0.446,0.03,0.03,0,0.06,1.6,3.6,4.3,5.2
1/1/2016 0:30,-6.8,-8.6,1.5,2.4,0.258,0.243,0.245,0.446,0.04,0.03,0,0.05,1.6,3.6,4.3,5.2
1/1/2016 0:45,-6.8,-8.6,1.5,2.4,0.258,0.243,0.245,0.446,0.04,0.03,0,0.06,1.6,3.5,4.3,5.2
1/1/2016 1:00,-6.9,-8.6,1.5,2.4,0.258,0.243,0.245,0.446,0.04,0.03,0,0.06,1.6,3.6,4.3,5.2
1/1/2016 1:15,-6.8,-8.6,1.5,2.4,0.259,0.243,0.245,0.446,0.04,0.04,0,0.06,1.6,3.5,4.3,5.2
1/1/2016 1:30,-6.9,-8.6,1.5,2.4,0.258,0.243,0.245,0.446,0.04,0.03,0,0.06,1.6,3.6,4.3,5.2
1/1/2016 1:45,-6.8,-8.6,1.5,2.4,0.259,0.243,0.245,0.446,0.04,0.03,0,0.06,1.6,3.6,4.3,5.2
1/1/2016 2:00,-6.9,-8.6,1.5,2.4,0.258,0.243,0.245,0.446,0.04,0.03,0,0.06,1.6,3.6,4.3,5.2
1/1/2016 2:15,-6.8,-8.6,1.5,2.4,0.259,0.243,0.245,0.446,0.04,0.04,0,0.06,1.6,3.5,4.3,5.2
1/1/2016 2:30,-6.9,-8.6,1.5,2.4,0.258,0.243,0.244,0.446,0.03,0.03,0,0.06,1.6,3.5,4.3,5.2
