TIMESTAMP,WP1(10cm),WP2(30cm),TempMPS1(10cm),TempMPS2(30cm),VWC1(10cm),VWC2(30cm),VWC3(60cm),VWC4(135cm),EC1(10cm),EC2(30cm),EC3(60cm),EC4(135cm),Temp5TE1(10cm),Temp5TE2(30cm),Temp5TE3(60cm),Temp5TE4(135cm)
MST,kPa,kPa,degC,degC,m3/m3,m3/m3,m3/m3,m3/m3,dS/m,dS/m,dS/m,dS/m,degC,degC,degC,degC
1/1/2016 0:00,-19.7,-22.2,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0,0.1,1.5,3.2,6.5
1/1/2016 0:15,-19.6,-22.1,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 0:30,-19.6,-22,0.3,1.9,0.118,0.147,0.167,0.083,0.01,0.03,0.01,0,0.1,1.5,3.2,6.5
1/1/2016 0:45,-20.7,-22.1,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.4
1/1/2016 1:00,-20.8,-22.1,0.3,1.9,0.118,0.147,0.167,0.082,0.01,0.04,0.01,0,0,1.5,3.2,6.5
1/1/2016 1:15,-19.6,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.01,0.04,0.01,0,0,1.5,3.2,6.4
1/1/2016 1:30,-19.6,-22.5,0.3,1.9,0.118,0.147,0.167,0.082,0.01,0.03,0.01,0.01,0,1.5,3.2,6.5
1/1/2016 1:45,-20.7,-22.1,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.04,0,0,0,1.5,3.2,6.5
1/1/2016 2:00,-19.8,-22.6,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0.01,0,1.5,3.2,6.5
1/1/2016 2:15,-20.9,-22.5,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 2:30,-19.6,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.01,0.03,0.01,0,0.1,1.5,3.2,6.5
1/1/2016 2:45,-20.2,-22.4,0.3,1.9,0.118,0.148,0.167,0.082,0.01,0.03,0.01,0,0.1,1.5,3.2,6.5
1/1/2016 3:00,-20.8,-22.1,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0.01,0.1,1.5,3.2,6.4
1/1/2016 3:15,-20.3,-22.2,0.3,1.9,0.118,0.147,0.167,0.083,0.02,0.04,0.01,0,0.1,1.5,3.2,6.5
1/1/2016 3:30,-20.4,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.4
1/1/2016 3:45,-19.6,-22.4,0.3,1.9,0.118,0.148,0.167,0.083,0.02,0.03,0,0,0,1.5,3.2,6.4
1/1/2016 4:00,-20.7,-22.4,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 4:15,-20.6,-22.7,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.04,0.01,0.01,0,1.5,3.2,6.5
1/1/2016 4:30,-19.6,-22.1,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 4:45,-20.2,-22.1,0.4,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0,0.1,1.5,3.2,6.5
1/1/2016 5:00,-20,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.04,0.01,0,0,1.5,3.2,6.4
1/1/2016 5:15,-19.6,-22.4,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 5:30,-20.7,-22.5,0.3,1.9,0.118,0.148,0.167,0.082,0.01,0.03,0.01,0.01,0.1,1.5,3.2,6.4
1/1/2016 5:45,-19.7,-22.4,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0.01,0,1.5,3.2,6.4
1/1/2016 6:00,-19.6,-22.5,0.3,1.9,0.117,0.147,0.167,0.082,0.01,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 6:15,-20.6,-22.1,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.1,6.5
1/1/2016 6:30,-20.8,-22.5,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.04,0.01,0,0,1.5,3.2,6.5
1/1/2016 6:45,-20.8,-22,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 7:00,-20.1,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.01,0.03,0.01,0,0.1,1.5,3.2,6.4
1/1/2016 7:15,-19.7,-22.7,0.3,1.9,0.118,0.147,0.167,0.083,0.02,0.03,0.01,0.01,0,1.5,3.2,6.5
1/1/2016 7:30,-20.8,-22.6,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0.01,0,1.5,3.2,6.5
1/1/2016 7:45,-20.8,-22.7,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.04,0.01,0,0,1.5,3.1,6.4
1/1/2016 8:00,-19.6,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 8:15,-19.6,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.01,0.03,0.01,0,0,1.5,3.2,6.5
1/1/2016 8:30,-19.6,-22.1,0.3,1.9,0.118,0.148,0.167,0.083,0.02,0.04,0.01,0,0.1,1.5,3.2,6.5
1/1/2016 8:45,-20.9,-22,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.03,0.01,0,0,1.5,3.2,6.4
1/1/2016 9:00,-20.8,-22.5,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.04,0,0,0,1.5,3.2,6.4
1/1/2016 9:15,-20.3,-22.5,0.3,1.9,0.118,0.147,0.167,0.082,0.01,0.03,0.01,0.01,0,1.5,3.2,6.4
1/1/2016 9:30,-20.6,-22.4,0.3,1.9,0.118,0.147,0.167,0.083,0.01,0.03,0.01,0,0,1.5,3.2,6.4
1/1/2016 9:45,-19.6,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0.01,0,1.5,3.2,6.5
1/1/2016 10:00,-20.8,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0,0,0.1,1.5,3.2,6.4
1/1/2016 10:15,-20.4,-22,0.3,1.9,0.118,0.147,0.167,0.082,0.02,0.04,0.01,0,0.1,1.5,3.1,6.5
1/1/2016 10:30,-20.9,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0,0,0,1.5,3.2,6.5
1/1/2016 10:45,-19.7,-22,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.04,0.01,0,0,1.5,3.2,6.4
1/1/2016 11:00,-20.7,-21.9,0.3,1.9,0.118,0.148,0.167,0.083,0.01,0.03,0.01,0.01,0.1,1.5,3.2,6.4
1/1/2016 11:15,-22,-22.5,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0,0.1,1.5,3.2,6.4
1/1/2016 11:30,-22.1,-22.5,0.3,1.9,0.118,0.148,0.167,0.083,0.02,0.03,0.01,0,0,1.5,3.2,6.4
1/1/2016 11:45,-22,-22.5,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.04,0.01,0.01,0,1.5,3.2,6.5
1/1/2016 12:00,-21.1,-21.9,0.3,1.9,0.118,0.148,0.167,0.082,0.01,0.04,0.01,0,0.1,1.5,3.2,6.4
1/1/2016 12:15,-21,-21.8,0.3,1.9,0.118,0.148,0.167,0.082,0.02,0.03,0.01,0.01,0.1,1.5,3.2,6.4
1/1/2016 12:30,-20.9,-21.9,0.3,1.9,0.118,0.148,0.167,0.083,0.02,0.03,0.01,0.01,0.1,1.5,3.2,6.4
