TIMESTAMP,TempSO1(2cm),TempSO2(10cm),TempSO3(30cm),TempSO4(60cm),O2soil1(2cm),O2soil2(10cm),O2soil3(30cm),O2soil4(60cm),CO2soil1(2cm),CO2soil2(10cm),CO2soil3(30cm),CO2soil4(60cm)
MST,degC,degC,degC,degC,%,%,%,%,ppm,ppm,ppm,ppm
1/1/2016 0:00,1.292,2.456,3.667,6.418,21.47,21.128,20.739,21.105,1659.832,1758.316,2428.965,2333.74
1/1/2016 0:15,1.292,2.456,3.667,6.418,21.47,21.12,20.732,21.096,1674.586,1764.561,2428.965,2323.24
1/1/2016 0:30,1.292,2.456,3.667,6.418,21.47,21.109,20.727,21.092,1701.832,1756.415,2436.025,2309.662
1/1/2016 0:45,1.292,2.457,3.667,6.418,21.47,21.111,20.726,21.096,1716.496,1757.682,2432.767,2325.412
1/1/2016 1:00,1.292,2.457,3.667,6.418,21.47,21.119,20.731,21.108,1722.742,1769.993,2447.25,2314.912
1/1/2016 1:15,1.292,2.456,3.667,6.418,21.47,21.124,20.74,21.11,1728.807,1762.751,2434.034,2322.335
1/1/2016 1:30,1.292,2.456,3.667,6.418,21.474,21.13,20.741,21.11,1719.936,1768.363,2442.543,2327.404
1/1/2016 1:45,1.292,2.456,3.667,6.417,21.47,21.117,20.733,21.11,1729.712,1771.803,2429.327,2309.481
1/1/2016 2:00,1.291,2.456,3.667,6.415,21.47,21.109,20.728,21.108,1739.85,1766.01,2438.017,2308.576
1/1/2016 2:15,1.289,2.456,3.667,6.411,21.47,21.109,20.723,21.097,1752.342,1770.717,2448.517,2307.852
1/1/2016 2:30,1.289,2.456,3.667,6.408,21.47,21.109,20.721,21.091,1759.855,1774.699,2440.913,2325.774
1/1/2016 2:45,1.289,2.456,3.667,6.411,21.47,21.109,20.721,21.092,1770.355,1780.945,2448.517,2319.438
1/1/2016 3:00,1.292,2.456,3.667,6.416,21.47,21.119,20.727,21.1,1761.665,1781.217,2431.862,2311.834
1/1/2016 3:15,1.29,2.454,3.666,6.416,21.488,21.129,20.74,21.109,1742.928,1779.95,2439.646,2311.653
1/1/2016 3:30,1.284,2.448,3.659,6.409,21.489,21.127,20.738,21.107,1736.682,1780.674,2454.31,2321.067
1/1/2016 3:45,1.28,2.445,3.655,6.405,21.489,21.127,20.738,21.107,1728.807,1787.825,2438.741,2310.205
1/1/2016 4:00,1.277,2.444,3.655,6.405,21.489,21.128,20.739,21.107,1727.087,1778.139,2453.224,2313.283
1/1/2016 4:15,1.274,2.444,3.655,6.403,21.482,21.127,20.737,21.107,1728.807,1789.635,2441.276,2310.386
1/1/2016 4:30,1.273,2.445,3.656,6.401,21.473,21.127,20.735,21.107,1748.178,1786.105,2434.577,2319.8
1/1/2016 4:45,1.271,2.445,3.656,6.399,21.481,21.126,20.733,21.108,1755.419,1781.398,2452.5,2306.041
1/1/2016 5:00,1.27,2.447,3.658,6.397,21.477,21.125,20.728,21.108,1760.488,1782.846,2447.25,2321.067
1/1/2016 5:15,1.268,2.448,3.659,6.398,21.482,21.127,20.729,21.108,1758.044,1779.135,2437.655,2329.395
1/1/2016 5:30,1.271,2.45,3.661,6.4,21.468,21.112,20.718,21.109,1772.618,1783.118,2445.982,2315.455
1/1/2016 5:45,1.272,2.452,3.662,6.399,21.477,21.122,20.723,21.11,1783.57,1785.2,2438.922,2326.136
1/1/2016 6:00,1.271,2.453,3.662,6.397,21.477,21.119,20.721,21.11,1778.773,1782.031,2448.517,2313.826
1/1/2016 6:15,1.267,2.451,3.661,6.394,21.487,21.128,20.73,21.11,1776.057,1789.907,2440.732,2320.705
1/1/2016 6:30,1.264,2.449,3.658,6.393,21.491,21.127,20.732,21.109,1762.389,1788.277,2444.353,2312.74
1/1/2016 6:45,1.261,2.447,3.656,6.391,21.49,21.127,20.732,21.108,1761.031,1796.786,2451.957,2309.662
1/1/2016 7:00,1.259,2.445,3.655,6.391,21.507,21.14,20.738,21.108,1750.35,1789.001,2459.017,2311.472
1/1/2016 7:15,1.259,2.444,3.654,6.391,21.514,21.143,20.746,21.12,1732.246,1781.76,2452.137,2323.24
1/1/2016 7:30,1.258,2.444,3.655,6.391,21.523,21.145,20.756,21.125,1696.943,1787.008,2444.894,2311.651
1/1/2016 7:45,1.258,2.444,3.654,6.391,21.554,21.144,20.755,21.124,1655.914,1776.935,2451.013,2303.652
1/1/2016 8:00,1.258,2.444,3.654,6.392,21.554,21.144,20.755,21.124,1634.787,1780.878,2444.622,2313.738
1/1/2016 8:15,1.258,2.444,3.654,6.391,21.551,21.146,20.755,21.124,1634.111,1777.935,2443.292,2323.09
1/1/2016 8:30,1.258,2.444,3.654,6.391,21.534,21.153,20.755,21.124,1641.096,1771.511,2436.71,2329.735
1/1/2016 8:45,1.258,2.444,3.654,6.389,21.554,21.164,20.755,21.141,1649.956,1775.839,2435.84,2313.848
1/1/2016 9:00,1.258,2.444,3.654,6.387,21.554,21.165,20.755,21.144,1643.819,1762.908,2446.226,2305.599
1/1/2016 9:15,1.258,2.444,3.653,6.387,21.554,21.165,20.755,21.144,1650.031,1769.124,2436.177,2312.196
1/1/2016 9:30,1.258,2.444,3.654,6.39,21.554,21.175,20.766,21.147,1654.289,1769.853,2437.09,2331.931
1/1/2016 9:45,1.258,2.444,3.654,6.393,21.557,21.186,20.776,21.157,1649.3,1758.614,2429.338,2307.898
