DateTime,VWC37cm,Temp37cm,EC37cm,Voltage12cm,Voltage23cm
[MST],[m3/m3],[degC],[dS/m],[mV],[mV]
1/1/2018 0:00,0.187,1,0.02,644.53,681.88
1/1/2018 0:10,0.187,1,0.02,644.53,682.62
1/1/2018 0:20,0.187,1,0.02,645.26,681.88
1/1/2018 0:30,0.187,1,0.02,645.26,681.88
1/1/2018 0:40,0.187,1,0.02,645.26,681.88
1/1/2018 0:50,0.187,1,0.02,645.26,681.88
1/1/2018 1:00,0.187,1,0.02,645.26,682.62
1/1/2018 1:10,0.187,1,0.02,645.26,681.88
1/1/2018 1:20,0.187,1,0.02,646,681.88
1/1/2018 1:30,0.187,1,0.02,646,681.88
1/1/2018 1:40,0.187,1,0.02,646,681.88
1/1/2018 1:50,0.187,1,0.02,646,681.88
1/1/2018 2:00,0.187,1,0.02,646,681.88
1/1/2018 2:10,0.187,1,0.02,646.73,681.88
1/1/2018 2:20,0.187,1,0.02,646,681.15
1/1/2018 2:30,0.187,1,0.02,646.73,681.88
1/1/2018 2:40,0.187,1,0.02,646.73,681.88
1/1/2018 2:50,0.187,1,0.02,646.73,681.88
1/1/2018 3:00,0.187,1,0.02,646.73,682.62
1/1/2018 3:10,0.187,1,0.02,646.73,681.88
1/1/2018 3:20,0.187,1,0.02,646.73,681.88
1/1/2018 3:30,0.187,1,0.02,646.73,681.88
1/1/2018 3:40,0.187,1,0.02,647.46,681.88
1/1/2018 3:50,0.187,1,0.02,648.19,681.88
1/1/2018 4:00,0.187,1,0.02,648.19,681.88
1/1/2018 4:10,0.187,1,0.02,648.19,681.88
1/1/2018 4:20,0.187,1,0.02,648.93,681.15
1/1/2018 4:30,0.187,1,0.02,648.93,681.15
1/1/2018 4:40,0.187,1,0.02,648.93,681.88
1/1/2018 4:50,0.187,1,0.02,648.93,681.88
1/1/2018 5:00,0.187,1,0.02,648.93,681.88
1/1/2018 5:10,0.187,1,0.02,648.93,681.88
1/1/2018 5:20,0.187,1,0.02,649.66,681.88
1/1/2018 5:30,0.188,1,0.02,649.66,681.88
1/1/2018 5:40,0.187,1,0.02,649.66,681.88
