DateTime,VWC9.5cm,Temp9.5cm,EC9.5cm,VWC65cm,Temp65cm,EC65cm,Voltage11cm,Voltage45cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[mV],[mV]
1/1/2017 0:00,0.216,1.7,0.13,0.173,3.5,0.05,939.7,714.84
1/1/2017 0:10,0.216,1.7,0.13,0.173,3.6,0.05,940.43,714.84
1/1/2017 0:20,0.216,1.7,0.13,0.173,3.6,0.05,939.7,714.84
1/1/2017 0:30,0.216,1.7,0.13,0.173,3.5,0.05,938.96,714.84
1/1/2017 0:40,0.216,1.7,0.13,0.173,3.5,0.05,938.96,714.84
1/1/2017 0:50,0.216,1.7,0.13,0.173,3.5,0.05,940.43,714.84
1/1/2017 1:00,0.216,1.7,0.13,0.173,3.5,0.05,940.43,714.84
1/1/2017 1:10,0.216,1.7,0.12,0.173,3.5,0.05,940.43,714.11
1/1/2017 1:20,0.216,1.7,0.13,0.173,3.5,0.05,940.43,714.11
1/1/2017 1:30,0.216,1.7,0.13,0.173,3.5,0.05,940.43,714.11
1/1/2017 1:40,0.216,1.7,0.13,0.173,3.5,0.05,940.43,714.11
1/1/2017 1:50,0.216,1.7,0.13,0.173,3.5,0.05,940.43,714.11
1/1/2017 2:00,0.216,1.7,0.13,0.173,3.5,0.05,940.43,714.84
1/1/2017 2:10,0.216,1.7,0.13,0.173,3.5,0.05,941.16,714.84
1/1/2017 2:20,0.216,1.7,0.13,0.173,3.5,0.05,941.16,714.84
1/1/2017 2:30,0.216,1.7,0.12,0.173,3.5,0.05,940.43,714.11
1/1/2017 2:40,0.216,1.7,0.13,0.173,3.5,0.05,941.89,714.11
1/1/2017 2:50,0.216,1.7,0.13,0.173,3.5,0.05,941.16,714.84
1/1/2017 3:00,0.216,1.7,0.13,0.173,3.5,0.05,941.16,714.11
1/1/2017 3:10,0.216,1.7,0.13,0.173,3.5,0.05,941.16,714.84
1/1/2017 3:20,0.216,1.7,0.13,0.173,3.5,0.05,941.16,714.11
