DateTime,Pit3_ORP_5,Pit3_ORP_10,Pit3_ORP_30,Pit3_ORP_60
MST,mV,mV,mV,mV
1/1/2017 0:00,682.6,679.6,677.2,653.1
1/1/2017 0:15,681.6,678.5,676.5,652.1
1/1/2017 0:30,681.6,678.2,676.5,651.8
1/1/2017 0:45,681.6,677.8,675.8,651.8
1/1/2017 1:00,681.2,677.5,675.1,651.1
1/1/2017 1:15,680.9,676.8,675.1,650.4
1/1/2017 1:30,681.2,676.8,675.1,650.4
1/1/2017 1:45,681.2,676.8,675.1,650.4
1/1/2017 2:00,681.6,676.8,675.1,650.4
1/1/2017 2:15,681.6,676.8,675.2,651.1
1/1/2017 2:30,681.6,676.9,674.5,651.1
1/1/2017 2:45,681.9,676.8,675.1,651.4
1/1/2017 3:00,681.6,676.2,674.5,650.8
1/1/2017 3:15,681.3,676.2,673.8,650.4
1/1/2017 3:30,681.3,676.2,673.8,650.5
1/1/2017 3:45,680.9,675.5,673.5,649.8
1/1/2017 4:00,680.2,674.8,673.1,649.1
1/1/2017 4:15,680.3,674.8,672.5,649.1
1/1/2017 4:30,680.3,674.2,672.5,649.1
1/1/2017 4:45,680.3,674.2,671.8,648.5
1/1/2017 5:00,680.7,674.9,672.5,649.2
1/1/2017 5:15,680.3,674.2,672.5,649.1
1/1/2017 5:30,680.3,674.2,671.9,648.8
1/1/2017 5:45,679.7,673.6,671.2,647.8
1/1/2017 6:00,679.3,673.6,671.2,647.8
1/1/2017 6:15,679.7,673.6,671.2,647.8
1/1/2017 6:30,679.4,672.9,671.2,647.8
1/1/2017 6:45,680.3,664.4,671.9,648.2
1/1/2017 7:00,688.8,658.6,680.3,657.3
1/1/2017 7:15,704.1,664.1,695.6,672.2
1/1/2017 7:30,708.1,662,698.9,676.2
1/1/2017 7:45,709.5,660,700.6,677.9
1/1/2017 8:00,710.5,658.6,701.7,679
1/1/2017 8:15,712.2,659,703,680.3
1/1/2017 8:30,689.1,637.3,667.1,663.4
1/1/2017 8:45,603.7,557.6,627.1,600.3
1/1/2017 9:00,450.5,364.8,586.7,366.2
1/1/2017 9:15,621.3,530.5,671.1,410.2
1/1/2017 9:30,701.2,617.9,700.2,510.5
1/1/2017 9:45,740.2,685.6,732.4,705.6
1/1/2017 10:00,737.5,683.6,728.7,703.9
1/1/2017 10:15,741.3,687.4,732.5,706.8
1/1/2017 10:30,740.6,687.4,731.8,702.3
1/1/2017 10:45,739.9,687.4,730.1,707.1
1/1/2017 11:00,815,767.4,754.1,775.5
1/1/2017 11:15,748.1,696.2,738.6,713.5
1/1/2017 11:30,750.4,699.3,741.3,716.9
1/1/2017 11:45,780.9,729.1,756.9,738.9
1/1/2017 12:00,743.7,668.1,723.7,565.9
1/1/2017 12:15,758.2,715.5,751.1,725.4
1/1/2017 12:30,641,581.8,694.5,577.4
1/1/2017 12:45,721.6,652.9,719.9,528.6
1/1/2017 13:00,746.4,691.2,742.3,596.7
1/1/2017 13:15,785.4,750.8,768.1,747.8
1/1/2017 13:30,784.9,751.7,772.3,748.3
1/1/2017 13:45,568.1,483.7,655.1,350.3
1/1/2017 14:00,608.7,504.4,652.1,363.8
1/1/2017 14:15,585,602,667,794.4
1/1/2017 14:30,807,778.5,777.8,767.6
1/1/2017 14:45,821,790.7,787.9,775.1
1/1/2017 15:00,817,786.9,799.1,773.4
1/1/2017 15:15,574.2,551.5,627.4,593.5
1/1/2017 15:30,810,830,729.3,928
1/1/2017 15:45,916,927,780.5,953
1/1/2017 16:00,797.1,769.6,798.4,756.4
1/1/2017 16:15,752.7,728,743.6,720.2
1/1/2017 16:30,750.7,726.3,741.5,718.2
1/1/2017 16:45,766.3,706.6,779.1,552.5
1/1/2017 17:00,750.7,727,741.5,718.2
1/1/2017 17:15,746.6,722.9,737.5,713.8
