DateTime,VWC12cm,Temp12cm,EC12cm,VWC30cm,Temp30cm,EC30cm,VWC65cm,Temp65cm,EC65cm,WP11cm,WP29cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[kPa],[kPa]
1/1/2014 0:00,0.213,0.1,0.14,0.257,1.3,0.25,0.255,2.8,0.09,-10.81,-122.49
1/1/2014 0:10,0.213,0.1,0.14,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-122.49
1/1/2014 0:20,0.213,0.1,0.15,0.257,1.3,0.25,0.255,2.8,0.09,-10.81,-123.53
1/1/2014 0:30,0.213,0.1,0.14,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-123.53
1/1/2014 0:40,0.213,0.1,0.15,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-125.64
1/1/2014 0:50,0.213,0.1,0.14,0.257,1.3,0.25,0.255,2.8,0.09,-10.81,-125.64
1/1/2014 1:00,0.213,0.1,0.14,0.257,1.3,0.25,0.255,2.8,0.09,-10.85,-126.71
1/1/2014 1:10,0.213,0.1,0.14,0.257,1.3,0.25,0.255,2.8,0.09,-10.81,-126.71
1/1/2014 1:20,-9999,-9999,-9999,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-128.88
1/1/2014 1:30,-9999,-9999,-9999,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-128.88
1/1/2014 1:40,-9999,-9999,-9999,0.257,1.3,0.25,0.255,2.8,0.09,-10.75,-129.98
1/1/2014 1:50,-9999,-9999,-9999,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-131.1
1/1/2014 2:00,-9999,-9999,-9999,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-129.98
1/1/2014 2:10,-9999,-9999,-9999,0.257,1.3,0.25,0.255,2.8,0.09,-10.78,-132.23
1/1/2014 2:20,-9999,-9999,-9999,0.257,1.3,0.25,0.255,2.8,0.09,-10.81,-133.36
