TIMESTAMP,Temp_Avg(2cm),Temp_Avg(10cm),Temp_Avg(30cm),Temp_Avg(60cm),O2_Avg(2cm),O2_Avg(10cm),O2_Avg(30cm),O2_Avg(60cm),CO2_Avg(2cm),CO2_Avg(10cm),CO2_Avg(30cm),CO2_Avg(60cm)
MST,C,C,C,C,%,%,%,%,ppm,ppm,ppm,ppm
1/1/2016 0:00,0.493,0.801,1.496,-9999,12.875,13.424,12.733,-9999,1133.472,4433.456,5495.933,5397.505
1/1/2016 0:15,0.493,0.798,1.496,-9999,12.88,13.426,12.742,-9999,1115.699,4312.783,5489.361,5397.859
1/1/2016 0:30,0.491,0.795,1.502,-9999,12.879,13.426,12.735,-9999,1101.023,4258.82,5502.108,5404.409
1/1/2016 0:45,0.491,0.795,1.509,-9999,12.884,13.428,12.736,-9999,1096.941,4324.7,5489.167,5406.603
1/1/2016 1:00,0.491,0.795,1.509,-9999,12.884,13.421,12.736,-9999,1091.533,4258.964,5488.831,5380.389
1/1/2016 1:15,0.488,0.792,1.505,-9999,12.884,13.421,12.736,-9999,1082.916,4203.089,5483.287,5387.06
1/1/2016 1:30,0.486,0.789,1.5,-9999,12.885,13.425,12.748,-9999,1072.703,4158.602,5472.761,5376.908
1/1/2016 1:45,0.485,0.789,1.5,-9999,12.884,13.433,12.752,-9999,1055.747,4107.101,5438.173,5355.448
1/1/2016 2:00,0.485,0.788,1.495,-9999,12.896,13.433,12.761,-9999,1050.177,4017.769,5437.198,5363.767
1/1/2016 2:15,0.483,0.787,1.49,-9999,12.897,13.433,12.761,-9999,1039.7,4022.87,5393.101,5360.485
1/1/2016 2:30,0.483,0.787,1.485,-9999,12.897,13.433,12.752,-9999,1033.049,3975.312,5411.14,5365.769
1/1/2016 2:45,0.485,0.788,1.483,-9999,12.897,13.433,12.768,-9999,1035.327,3932.31,5415.149,5346.455
1/1/2016 3:00,0.473,0.789,1.484,-9999,12.898,13.433,12.77,-9999,1020.76,3904.562,5388.782,5365.094
1/1/2016 3:15,0.464,0.789,1.484,-9999,12.9,13.435,12.757,-9999,1018.211,3881.501,5388.362,5345.173
1/1/2016 3:30,0.466,0.792,1.486,-9999,12.889,13.436,12.752,-9999,1024.04,3957.196,5381.721,5357.299
