File name:,REE_soil_gases_1999_2002.csv,,,,,
File date:,2-Jul-12,,,,,
Associated LME file:,,,,,,
,,,,,,
Column,Heading,Units/format,Description,,,
1,Date,YYYMMDD,Sampling date (YYYYMMDD),,,
2,Pit number,,Pit identiifcation,,,
3,Treatment,,Plot treatment either rainfall exclusion or control,,,
4,Depth ,cm,Sampling depth from soil surface,,,
5,VWC,cm3/cm3 ,Soil volumetric water content reported in cubic centimeters of water per cubic centimeter of soil,,,
6,conc_CO2,% ,Concentration of carbon dioxide reported in percent,,,
7,conc_N2O ,ppm ,Concentration of nitrous oxide reported in parts per million,,,
,,,,,,
,missing data represented by -9999,,,,,
,,,,,,
Date,Pit number,Treatment,Depth ,VWC,conc_CO2,conc_N2O 
19991209,1,exclusion,10,-9999,0.74,0.7
19991209,1,exclusion,25,-9999,1.49,1.29
19991209,1,exclusion,30,0.337,-9999,-9999
19991209,1,exclusion,50,0.217,1.96,1.85
19991209,1,exclusion,100,0.212,1.96,0.54
19991209,1,exclusion,200,0.247,2.65,0.7
19991209,1,exclusion,300,0.201,2.81,0.68
19991209,1,exclusion,400,0.245,-9999,-9999
19991209,1,exclusion,500,0.273,-9999,-9999
19991209,1,exclusion,600,0.329,-9999,-9999
19991209,1,exclusion,700,0.348,4.28,0.58
19991209,1,exclusion,800,0.256,-9999,-9999
19991209,1,exclusion,900,0.239,-9999,-9999
19991209,1,exclusion,1000,0.313,-9999,-9999
19991209,1,exclusion,1100,0.391,10.23,0.84
19991209,2,exclusion,10,-9999,1.46,1.35
19991209,2,exclusion,25,-9999,0.82,1.41
19991209,2,exclusion,30,0.364,-9999,-9999
19991209,2,exclusion,50,0.268,0.35,2.75
19991209,2,exclusion,100,0.285,3.03,1.74
19991209,2,exclusion,200,0.272,2,0.99
19991209,2,exclusion,300,0.229,2.28,0.92
19991209,2,exclusion,400,0.242,-9999,-9999
19991209,2,exclusion,500,0.359,-9999,-9999
19991209,2,exclusion,600,0.354,-9999,-9999
19991209,2,exclusion,700,0.387,4.57,0.77
19991209,2,exclusion,800,0.36,-9999,-9999
19991209,2,exclusion,900,0.386,-9999,-9999
19991209,2,exclusion,1000,0.362,-9999,-9999
19991209,2,exclusion,1100,0.368,10.36,1.01
19991209,3,exclusion,10,-9999,0.39,0.64
19991209,3,exclusion,25,-9999,0.65,0.71
19991209,3,exclusion,30,0.302,-9999,-9999
19991209,3,exclusion,50,0.236,0.99,0.86
19991209,3,exclusion,100,0.325,1.48,1.03
19991209,3,exclusion,200,0.309,1.72,0.87
19991209,3,exclusion,300,0.291,1.77,0.83
19991209,3,exclusion,400,0.35,-9999,-9999
19991209,3,exclusion,500,0.334,-9999,-9999
19991209,3,exclusion,600,0.384,-9999,-9999
19991209,3,exclusion,700,0.39,3.47,0.79
19991209,3,exclusion,800,0.4,-9999,-9999
19991209,3,exclusion,900,0.391,-9999,-9999
19991209,3,exclusion,1000,0.392,-9999,-9999
19991209,3,exclusion,1100,0.346,9.02,1.2
19991209,4,control,10,-9999,0.71,0.69
19991209,4,control,25,-9999,1.11,1.02
19991209,4,control,30,0.315,-9999,-9999
19991209,4,control,50,0.222,1.77,0.87
19991209,4,control,100,0.312,1.5,0.75
19991209,4,control,200,0.285,1.81,0.76
19991209,4,control,300,0.294,1.89,0.66
19991209,4,control,400,0.311,-9999,-9999
19991209,4,control,500,0.362,-9999,-9999
19991209,4,control,600,0.382,-9999,-9999
19991209,4,control,700,0.4,3.89,0.66
19991209,4,control,800,0.381,-9999,-9999
19991209,4,control,900,0.398,-9999,-9999
19991209,4,control,1000,0.372,-9999,-9999
19991209,4,control,1100,0.378,9.62,0.92
19991209,5,control,10,-9999,0.53,0.64
19991209,5,control,25,-9999,1.85,1.34
19991209,5,control,30,0.326,-9999,-9999
19991209,5,control,50,0.31,2.15,1.05
19991209,5,control,100,0.221,2.25,0.89
19991209,5,control,200,0.298,2.71,0.57
19991209,5,control,300,0.327,3.8,0.63
19991209,5,control,400,0.358,-9999,-9999
19991209,5,control,500,0.373,-9999,-9999
19991209,5,control,600,0.394,-9999,-9999
19991209,5,control,700,0.367,4.86,0.84
19991209,5,control,800,0.394,-9999,-9999
19991209,5,control,900,0.401,-9999,-9999
19991209,5,control,1000,0.394,-9999,-9999
19991209,5,control,1100,0.328,11.25,1.02
19991209,6,control,10,-9999,0.58,0.59
19991209,6,control,25,-9999,0.88,0.66
19991209,6,control,30,0.346,-9999,-9999
19991209,6,control,50,0.334,1.22,0.7
19991209,6,control,100,0.299,1.52,0.59
19991209,6,control,200,0.279,1.6,0.63
19991209,6,control,300,0.248,2.42,0.61
19991209,6,control,400,0.337,-9999,-9999
19991209,6,control,500,0.387,-9999,-9999
19991209,6,control,600,0.392,-9999,-9999
19991209,6,control,700,0.402,2.65,0.58
19991209,6,control,800,0.392,-9999,-9999
19991209,6,control,900,0.351,-9999,-9999
19991209,6,control,1000,0.36,-9999,-9999
19991209,6,control,1100,0.353,5.24,1.03
20000402,1,exclusion,10,-9999,-9999,1.91
20000402,1,exclusion,25,-9999,-9999,1.55
20000402,1,exclusion,30,-9999,-9999,-9999
20000402,1,exclusion,50,-9999,-9999,1.82
