PRISM Time Series Data
Location:  Lat: 40.6950   Lon: -77.9198   Elev: 443m
Climate variable: ppt
Spatial resolution: 4km
Period: 2015-06-10 - 2019-06-24
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Aug-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm)
2015-06-10,0.00
2015-06-11,0.00
2015-06-12,3.24
2015-06-13,14.76
2015-06-14,2.49
2015-06-15,20.66
2015-06-16,2.30
2015-06-17,0.19
2015-06-18,2.87
2015-06-19,38.11
2015-06-20,0.20
2015-06-21,14.90
2015-06-22,1.06
2015-06-23,0.22
2015-06-24,3.27
2015-06-25,0.00
2015-06-26,4.00
2015-06-27,11.12
2015-06-28,46.95
2015-06-29,1.22
2015-06-30,3.32
2015-07-01,21.28
2015-07-02,0.00
2015-07-03,0.00
2015-07-04,23.90
2015-07-05,13.36
2015-07-06,0.85
2015-07-07,2.48
2015-07-08,6.98
2015-07-09,3.80
2015-07-10,3.67
2015-07-11,0.00
2015-07-12,0.00
2015-07-13,0.00
2015-07-14,6.15
2015-07-15,20.11
2015-07-16,0.00
2015-07-17,0.00
2015-07-18,64.30
2015-07-19,9.06
2015-07-20,11.05
2015-07-21,0.43
2015-07-22,1.25
2015-07-23,0.00
2015-07-24,0.00
2015-07-25,0.00
2015-07-26,0.00
2015-07-27,4.68
2015-07-28,0.00
2015-07-29,0.00
2015-07-30,1.01
2015-07-31,17.81
2015-08-01,0.00
2015-08-02,0.00
2015-08-03,0.00
2015-08-04,3.05
2015-08-05,0.00
2015-08-06,0.00
2015-08-07,0.00
2015-08-08,0.00
2015-08-09,0.00
2015-08-10,0.00
2015-08-11,22.91
2015-08-12,0.41
2015-08-13,0.00
2015-08-14,0.00
2015-08-15,0.00
2015-08-16,0.00
2015-08-17,0.00
2015-08-18,0.00
2015-08-19,0.01
2015-08-20,4.75
2015-08-21,30.37
2015-08-22,0.00
2015-08-23,0.00
2015-08-24,0.00
2015-08-25,0.00
2015-08-26,0.00
2015-08-27,0.00
2015-08-28,0.00
2015-08-29,0.00
2015-08-30,0.00
2015-08-31,0.00
2015-09-01,0.00
2015-09-02,0.00
2015-09-03,0.70
2015-09-04,0.00
2015-09-05,1.45
2015-09-06,0.00
2015-09-07,0.00
2015-09-08,0.00
2015-09-09,0.00
2015-09-10,27.98
2015-09-11,5.76
2015-09-12,0.08
2015-09-13,14.28
2015-09-14,0.00
2015-09-15,0.00
2015-09-16,0.00
2015-09-17,0.00
2015-09-18,0.00
2015-09-19,0.00
2015-09-20,1.71
2015-09-21,0.00
2015-09-22,4.27
2015-09-23,0.00
2015-09-24,0.00
2015-09-25,0.00
2015-09-26,0.00
2015-09-27,0.00
2015-09-28,0.00
2015-09-29,4.11
2015-09-30,30.98
2015-10-01,3.75
2015-10-02,0.43
2015-10-03,8.93
2015-10-04,9.48
2015-10-05,0.00
2015-10-06,0.00
2015-10-07,0.00
2015-10-08,0.00
2015-10-09,0.00
2015-10-10,5.69
2015-10-11,0.00
2015-10-12,0.00
2015-10-13,0.94
2015-10-14,1.10
2015-10-15,0.00
2015-10-16,0.46
2015-10-17,2.59
2015-10-18,1.74
2015-10-19,0.73
2015-10-20,0.00
2015-10-21,0.00
2015-10-22,0.00
2015-10-23,0.00
2015-10-24,0.00
2015-10-25,7.38
2015-10-26,0.00
2015-10-27,0.00
2015-10-28,14.01
2015-10-29,32.20
2015-10-30,0.15
2015-10-31,0.00
2015-11-01,0.25
2015-11-02,0.00
2015-11-03,0.00
2015-11-04,0.00
2015-11-05,0.00
2015-11-06,0.00
2015-11-07,0.72
2015-11-08,0.00
2015-11-09,0.00
2015-11-10,1.05
2015-11-11,21.82
2015-11-12,0.82
2015-11-13,3.29
2015-11-14,0.00
2015-11-15,0.00
2015-11-16,0.00
2015-11-17,0.00
2015-11-18,0.00
2015-11-19,6.85
2015-11-20,0.37
2015-11-21,0.00
2015-11-22,0.00
2015-11-23,0.00
2015-11-24,0.00
2015-11-25,0.00
2015-11-26,0.00
2015-11-27,0.00
2015-11-28,0.78
2015-11-29,1.14
2015-11-30,0.00
2015-12-01,2.60
2015-12-02,11.91
2015-12-03,17.65
2015-12-04,0.00
2015-12-05,0.00
2015-12-06,0.00
2015-12-07,0.00
2015-12-08,0.00
2015-12-09,0.00
2015-12-10,1.02
2015-12-11,0.00
2015-12-12,0.00
2015-12-13,0.21
2015-12-14,0.00
2015-12-15,6.66
2015-12-16,0.00
2015-12-17,0.54
2015-12-18,7.73
2015-12-19,0.00
2015-12-20,0.00
2015-12-21,0.00
2015-12-22,7.03
2015-12-23,3.35
2015-12-24,13.32
