RecordNum,SampleDate,SampleNumber,SiteCode,Depth,DOC,WaterTemp,pH,Alkalinity,Chloride,Nitrate,Sulfate,Fluoride,Acetate,Formate,Phosphate,Aluminum,Calcium,Potassium,Magnesium,Sodium,Silica,Strontium,IronIII,Manganese,Nickel,Phosphorus,Vanadium,Zinc,Barium,Delta_2Hydrogen,Delta_18Oxygen
1,2006-09-23,,SPVF,20,-9999,-9999,-9999,-9999,97.67362,-9999,474.6727,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2,2006-09-23,,SPVF,30,-9999,-9999,-9999,-9999,114.4738,2.62521,2407.708,-9999,-9999,-9999,-9999,8.154188,1322.355,143.2225,740.436,243.5842,320.3987,2.85323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
3,2006-09-23,,SPVF,40,-9999,-9999,-9999,-9999,81.48631,1.486332,2129.421,-9999,-9999,-9999,-9999,-9999,1147.705,120.2046,699.3007,178.3384,270.5589,2.85323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
4,2006-09-23,,SPVF,60,-9999,-9999,-9999,-9999,55.74526,5.414496,104.5628,-9999,-9999,-9999,-9999,-9999,84.83034,33.24808,65.81654,82.64463,213.5992,0.3423876,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
5,2006-09-23,,SPMS,20,-9999,-9999,-9999,-9999,17.86372,25.35451,99.37437,-9999,-9999,-9999,-9999,3.335804,59.88024,25.57545,27.14932,65.24576,170.8793,0.2282584,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
6,2006-09-23,,SPMS,40,-9999,-9999,-9999,-9999,36.11499,3.821997,371.8088,-9999,-9999,-9999,-9999,2.22387,132.2355,40.92072,226.2443,104.3932,206.4792,0.4565168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
7,2006-09-23,,SPMS,50,-9999,-9999,-9999,-9999,32.27547,2.663816,353.9333,-9999,-9999,-9999,-9999,-9999,214.5709,35.80563,127.5195,47.84689,174.4393,0.4565168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,2006-09-23,,SPRT,10,-9999,-9999,-9999,-9999,68.4175,68.51605,139.6412,-9999,-9999,-9999,-9999,26.31579,117.2655,99.74425,45.24887,86.99435,174.4393,0.3423876,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
9,2006-09-23,,SPRT,20,-9999,-9999,-9999,-9999,46.07433,10.72283,158.9099,-9999,-9999,-9999,-9999,-9999,104.7904,43.47826,29.20609,100.0435,153.0794,0.3423876,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10,2006-09-23,,SPRT,30,-9999,-9999,-9999,-9999,153.4639,21.60007,100.8374,-9999,-9999,-9999,-9999,-9999,84.83034,48.59335,39.07857,130.4915,185.1193,0.3423876,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11,2006-10-20,,SPVF,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,948.1038,104.8593,353.7639,113.0927,274.1189,1.141292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
12,2006-10-20,,SPVF,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,224.5509,66.49616,152.2007,100.0435,242.079,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
13,2006-10-20,,SPVF,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1472.056,115.0895,781.5714,160.9395,306.1588,1.597809,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,2006-10-20,,SPVF,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1072.854,109.9744,617.03,165.2893,249.199,1.597809,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15,2006-10-20,,SPVF,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,104.7904,23.0179,74.0436,65.24576,220.7191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
16,2006-10-20,,SPMS,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.89022,25.57545,65.81654,73.94519,220.7191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17,2006-10-20,,SPMS,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.89022,17.90281,23.44714,43.49717,185.1193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
18,2006-10-20,,SPMS,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,107.2854,28.13299,197.4496,52.19661,195.7992,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19,2006-10-20,,SPMS,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,177.1457,23.0179,115.1789,26.0983,163.7593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20,2006-10-20,,SPRT,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51.89029,104.7904,63.93862,49.3624,39.14746,110.3596,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,2006-10-20,,SPRT,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.706449,84.83034,40.92072,32.49691,47.84689,145.9594,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
22,2006-10-20,,SPRT,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.82036,35.80563,36.61045,78.29491,160.1994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
23,2006-10-29,,SPVF,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.706449,723.5529,92.07161,279.7203,69.59547,192.2392,0.6847752,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,2006-10-29,,SPVF,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.706449,244.511,63.93862,164.5413,60.89604,181.5593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
25,2006-10-29,,SPVF,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.2387,1397.206,94.62916,699.3007,82.64463,242.079,1.141292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
26,2006-10-29,,SPVF,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,648.7026,76.72634,374.3315,52.19661,177.9993,0.4565168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27,2006-10-29,,SPVF,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,102.2954,17.90281,69.93007,26.0983,138.8394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,2006-10-29,,SPMS,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.706449,74.8503,30.69054,94.61127,52.19661,174.4393,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
29,2006-10-29,,SPMS,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.84032,23.0179,35.37639,30.44802,153.0794,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30,2006-10-29,,SPMS,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.706449,134.7305,20.46036,226.2443,26.0983,156.6394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
31,2006-10-29,,SPMS,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,127.2455,17.90281,82.27067,13.04915,124.5995,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,2006-10-29,,SPRT,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.30319,104.7904,63.93862,49.3624,21.74859,81.87967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33,2006-10-29,,SPRT,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.706449,84.83034,30.69054,32.49691,30.44802,110.3596,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
34,2006-10-29,,SPRT,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,97.30539,28.13299,35.37639,43.49717,138.8394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,2006-11-04,EMF061AB,SPVF,40,-9999,-9999,4.53,-9999,49.5132,-9999,578.0144,1.1655,-9999,-9999,-9999,-9999,374.2515,53.70844,222.1308,41.32232,124.5995,0.7989044,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,2006-11-04,EMF062AB,SPVF,20,-9999,-9999,4.6,-9999,71.6628,-9999,276.0651,1.4321,5.1484,-9999,-9999,2.594514,169.6607,53.70844,119.2925,47.84689,135.2795,0.4565168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
37,2006-11-04,EMF063AB,SPVF,30,-9999,-9999,4.62,-9999,60.5804,-9999,1428.49,4.3328,1.2503,-9999,-9999,5.559674,998.004,63.93862,452.4887,60.89604,181.5593,1.36955,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
