TmStamp,Total_Precip_mm,Device,Correlation,Comment
2006-01-01,.70000,OTT,NO,
2006-01-02,12.10000,OTT,NO,
2006-01-03,1.90000,OTT,NO,
2006-01-04,1.00000,OTT,NO,
2006-01-05,2.00000,OTT,NO,
2006-01-06,2.60000,OTT,NO,
2006-01-07,.40000,OTT,NO,
2006-01-08,.50000,OTT,NO,
2006-01-09,2.10000,OTT,NO,
2006-01-10,1.50000,OTT,NO,
2006-01-11,9.50000,OTT,NO,
2006-01-12,2.80000,OTT,NO,
2006-01-13,4.80000,OTT,NO,
2006-01-14,13.30000,OTT,NO,
2006-01-15,1.70000,OTT,NO,
2006-01-16,1.00000,OTT,NO,
2006-01-17,11.80000,OTT,NO,
2006-01-18,23.10000,OTT,NO,
2006-01-19,2.30000,OTT,NO,
2006-01-20,1.70000,OTT,NO,
2006-01-21,2.60000,OTT,NO,
2006-01-22,1.90000,OTT,NO,
2006-01-23,14.20000,OTT,NO,
2006-01-24,3.50000,OTT,NO,
2006-01-25,3.30000,OTT,NO,
2006-01-26,2.00000,OTT,NO,
2006-01-27,2.30000,OTT,NO,
2006-01-28,2.20000,OTT,NO,
2006-01-29,6.50000,OTT,NO,
2006-01-30,3.10000,OTT,NO,
2006-01-31,7.60000,OTT,NO,
2006-02-01,.90000,OTT,NO,
2006-02-02,.30000,OTT,NO,
2006-02-03,11.60000,OTT,NO,
2006-02-04,13.80000,OTT,NO,
2006-02-05,.90000,OTT,NO,
2006-02-06,1.20000,OTT,NO,
2006-02-07,1.10000,OTT,NO,
2006-02-08,2.30000,OTT,NO,
2006-02-09,2.20000,OTT,NO,
2006-02-10,.70000,OTT,NO,
2006-02-11,3.60000,OTT,NO,
2006-02-12,3.40000,OTT,NO,
2006-02-13,1.40000,OTT,NO,
2006-02-14,1.80000,OTT,NO,
2006-02-15,2.00000,OTT,NO,
2006-02-16,1.20000,OTT,NO,
2006-02-17,3.40000,OTT,NO,
2006-02-18,2.90000,OTT,NO,
2006-02-19,2.50000,OTT,NO,
2006-02-20,3.00000,OTT,NO,
2006-02-21,2.40000,OTT,NO,
2006-02-22,2.30000,OTT,NO,
2006-02-23,4.80000,OTT,NO,
2006-02-24,2.10000,OTT,NO,
2006-02-25,2.50000,OTT,NO,
2006-02-26,2.90000,OTT,NO,
2006-02-27,3.30000,OTT,NO,
2006-02-28,1.90000,OTT,NO,
2006-03-01,2.60000,OTT,NO,
2006-03-02,7.10000,OTT,NO,
2006-03-03,1.60000,OTT,NO,
2006-03-04,1.80000,OTT,NO,
2006-03-05,1.70000,OTT,NO,
2006-03-06,1.40000,OTT,NO,
2006-03-07,2.30000,OTT,NO,
2006-03-08,.80000,OTT,NO,
2006-03-09,.80000,OTT,NO,
2006-03-10,1.40000,OTT,NO,
2006-03-11,2.70000,OTT,NO,
2006-03-12,13.70000,OTT,NO,
2006-03-13,3.80000,OTT,NO,
2006-03-14,2.30000,OTT,NO,
2006-03-15,1.20000,OTT,NO,
2006-03-16,1.10000,OTT,NO,
2006-03-17,1.30000,OTT,NO,
